gene,in_nel,in_mageck
AIP,False,True
ALDOA,True,True
ALG1,True,True
ALG11,False,True
ALG13,True,True
ALG2,True,True
ANKRD17,True,True
APH1A,False,True
AQP3,False,True
ARHGEF1,False,True
ARID1A,True,True
ARID4B,False,True
ARIH1,False,True
ARIH2,False,True
ARMC7,True,True
BAZ1B,False,True
BCL11B,True,True
BCL7B,False,True
BHLHE40,False,True
BRK1,True,True
BRPF1,False,True
C16orf72,False,True
CABIN1,False,True
CBFB,True,True
CCDC6,False,True
CCNC,False,True
CCNH,False,True
CD3D,True,True
CD3E,True,True
CDC37,True,True
CDK12,False,True
CHD1,False,True
CLP1,False,True
CREBBP,False,True
CTDNEP1,False,True
CUL3,False,True
CYLD,False,True
DAD1,True,True
DDOST,True,True
DDX20,False,True
DHX36,True,True
DIS3,False,True
DNMT1,False,True
DNTTIP1,False,True
DOCK2,False,True
DOHH,False,True
DPAGT1,False,True
DPF2,True,True
DSCC1,False,True
DUSP4,False,True
DYRK1A,False,True
EDC4,False,True
EED,False,True
EIF3B,False,True
EIF3D,False,True
EIF3E,False,True
EIF5A,False,True
EP300,True,True
ETS1,True,True
EXOC1,False,True
F8A1,False,True
FAM89A,False,True
FBXO42,False,True
FOXP1,False,True
FOXP3,True,True
FUS,False,True
GANAB,True,True
GFPT1,True,True
GMPPB,True,True
GPN1,False,True
GPN2,True,True
GPR89A,False,True
GPS2,True,True
GRB2,False,True
GTF2A2,True,True
HDAC3,True,True
HIRA,False,True
HNRNPM,False,True
IARS2,False,True
IFNGR1,False,True
IKZF3,False,True
IPPK,False,True
IRF4,True,True
ITK,False,True
ITPKB,False,True
JUNB,False,True
KAT7,True,True
KDM3B,False,True
KDM6B,False,True
KIDINS220,False,True
KMT2D,True,True
LCP2,True,True
MAP4K1,False,True
MCMBP,False,True
MEAF6,True,True
MED10,True,True
MED11,False,True
MED12,False,True
MED14,False,True
MED19,False,True
MED21,False,True
MED26,False,True
MED28,False,True
MED29,False,True
MED30,True,True
MED31,False,True
MED6,False,True
MED8,True,True
MEN1,False,True
MEPCE,False,True
MGEA5,False,True
MIDN,True,True
MTF1,False,True
MYC,False,True
NAA30,False,True
NAB2,True,True
NCBP1,True,True
NCKAP1L,False,True
NCOA3,False,True
NCOR1,False,True
NCOR2,True,True
NFKB2,True,True
NFRKB,False,True
NMNAT1,False,True
NMT1,False,True
NOSIP,False,True
NUS1,True,True
NXT1,False,True
OGT,False,True
ORAI1,False,True
PAXBP1,False,True
PCBP2,False,True
PCGF1,False,True
PCID2,False,True
PDPK1,False,True
PDS5B,False,True
PFDN2,False,True
PFN1,False,True
PGM3,True,True
PHF6,False,True
PHIP,True,True
POLR2I,False,True
POLR2L,False,True
POU2F1,False,True
PPP4C,False,True
PPRC1,False,True
PREB,True,True
PRKAR1A,False,True
PRKCSH,False,True
PRMT5,False,True
PSENEN,False,True
PTPN2,False,True
RAD51D,False,True
RBPJ,True,True
RFWD2,False,True
RHOG,False,True
RNF113A,True,True
RNF40,True,True
RNF7,False,True
RPAP2,False,True
RPN1,True,True
RPN2,True,True
RPRD1B,False,True
RPRD2,False,True
SAP18,False,True
SCAF8,False,True
SEC16A,False,True
SERF2,False,True
SIAH2,False,True
SIGLEC8,False,True
SIK3,False,True
SIN3A,False,True
SLC33A1,False,True
SLC39A10,False,True
SLC39A7,False,True
SMAD3,True,True
SMAD4,True,True
SMARCA4,True,True
SMARCB1,True,True
SMARCC1,True,True
SMARCD1,True,True
SMARCD2,False,True
SMARCE1,True,True
SMNDC1,False,True
SPOP,False,True
SRRT,False,True
SRSF5,False,True
STAT5A,True,True
STAT5B,True,True
STK11,False,True
STUB1,False,True
SUV420H1,False,True
TADA1,True,True
TAF1,False,True
TAF12,True,True
TAF2,True,True
TAF5,False,True
TAF6,True,True
TAF6L,False,True
TAF8,True,True
TANGO6,False,True
TARDBP,False,True
TBL1XR1,True,True
TDG,False,True
TET2,True,True
TGFBR1,True,True
TGFBR2,True,True
TIAL1,False,True
TLE3,False,True
TMEM258,True,True
TNRC18,False,True
TOX,False,True
TRAF2,False,True
TRAF3,False,True
TRAPPC1,False,True
TRAPPC13,False,True
TRAPPC3,True,True
TRAPPC4,False,True
TRAPPC5,False,True
TRIM28,False,True
TSR3,False,True
TTC14,False,True
UAP1,False,True
UBE2N,False,True
UBE2T,False,True
UHRF1,True,True
USO1,True,True
UXT,True,True
VAPA,False,True
VPS72,False,True
WAS,False,True
XPR1,False,True
ZAP70,False,True
ZBTB7B,True,True
ZC3H12A,False,True
ZC3H18,True,True
ZMYND8,False,True
ZNF592,False,True
ZNHIT2,False,True
